theta,phi,time,Sg (MW/m^2),PAR (mol PAR/m^2/s),PARdf (mol PAR/m^2/s),PARdr (mol PAR/m^2/s)
-11.4554027032969,47.71797359657421,2024-06-18 03:30:00+00:00,0.0,0.0,0.0,0.0
-9.977533065682726,49.50338905386889,2024-06-18 03:40:00+00:00,0.0,0.0,0.0,0.0
-8.460277662262593,51.24622508969384,2024-06-18 03:50:00+00:00,0.0,0.0,0.0,0.0
-6.9059526163705565,52.94841223343718,2024-06-18 04:00:00+00:00,0.0,0.0,0.0,0.0
-5.316767146149228,54.611972087136394,2024-06-18 04:10:00+00:00,0.0,0.0,0.0,0.0
-3.694824519775976,56.238998260008316,2024-06-18 04:20:00+00:00,0.0,0.0,0.0,0.0
-2.0421246423450854,57.831640479396185,2024-06-18 04:30:00+00:00,0.0,0.0,0.0,0.0
-0.36056743990324064,59.39209235997839,2024-06-18 04:40:00+00:00,0.0,0.0,0.0,0.0
1.3480430542656232,60.92258247711828,2024-06-18 04:50:00+00:00,1.8388369562971738e-05,4.23695151220547e-05,1.3642983869301613e-05,2.8726531252753085e-05
3.0819940742624956,62.42536851632832,2024-06-18 05:00:00+00:00,4.2528012388965596e-05,9.799081195614193e-05,3.1553041449877704e-05,6.643777050626422e-05
4.839659090038888,63.90273429291818,2024-06-18 05:10:00+00:00,6.75342848760007e-05,0.00015560895132719056,5.010608232735536e-05,0.00010550286899983519
6.6194923545058995,65.35698937209588,2024-06-18 05:20:00+00:00,9.337858959952923e-05,0.0002151580405519107,6.928088905771525e-05,0.00014587715149419543
8.42002382782739,66.79047174070536,2024-06-18 05:30:00+00:00,0.00012002756928705182,0.00027656121955541897,8.905271269684491e-05,0.00018750850685857404
10.23985274135658,68.20555199039563,2024-06-18 05:40:00+00:00,0.00014744303952804645,0.00033973050582499187,0.00010939322287564738,0.00023033728294934446
12.077642221588487,69.6046409342851,2024-06-18 05:50:00+00:00,0.00017558197294734,0.00040456675794317977,0.00013027049605770388,0.00027429626188547586
13.932113207761539,70.990199231637,2024-06-18 06:00:00+00:00,0.00020439650982613376,0.0004709597000602161,0.0001516490234193896,0.0003193106766408265
15.802038366263393,72.36474970975297,2024-06-18 06:10:00+00:00,0.00023383400586264843,0.0005387880319415863,0.0001734897462851908,0.00036529828565639547
17.68623586690677,73.73089247468192,2024-06-18 06:20:00+00:00,0.0002638371156828828,0.000607919621389131,0.00019575011808730018,0.00041216950330183076
19.583562979215056,75.09132308599004,2024-06-18 06:30:00+00:00,0.00029434391203990006,0.000678211778893779,0.00021838419280379684,0.0004598275860899821
21.492909429733995,76.44885417870074,2024-06-18 06:40:00+00:00,0.00032528804040442,0.0007495116138350693,0.00024134273965489231,0.000508168874180177
23.413190310590473,77.80644094984979,2024-06-18 06:50:00+00:00,0.000356598906267549,0.0008216564660542604,0.00026457338206947186,0.0005570830839847885
25.343339205652534,79.16721171400593,2024-06-18 07:00:00+00:00,0.00038820190692817613,0.0008944744399266732,0.0002880207696563888,0.0006064536702702844
27.28229947064462,80.53450300970809,2024-06-18 07:10:00+00:00,0.0004200186751825712,0.000967784965858459,0.0003116267590064238,0.0006561582068520352
29.229016064622698,81.91190214263196,2024-06-18 07:20:00+00:00,0.00045196737546165916,0.0010413994826305511,0.0003353306334070375,0.0007060688492235136
31.182425791370576,83.30329715847614,2024-06-18 07:30:00+00:00,0.0004839630194452565,0.0011151221646204068,0.000359069337007771,0.0007560528276126358
33.14144644592825,84.71293650000138,2024-06-18 07:40:00+00:00,0.0005159178118399618,0.0011887507185252577,0.00038277773136513295,0.0008059729871601247
35.10496439050058,86.1455004177729,2024-06-18 07:50:00+00:00,0.0005477415221854494,0.0012620772400586393,0.0004063888712988819,0.0008556883687597574
37.0718201132358,87.60618686528892,2024-06-18 08:00:00+00:00,0.0005793418803882662,0.001334889125318586,0.0004298342983525847,0.0009050548269660012
39.040791204820465,89.10081534510834,2024-06-18 08:10:00+00:00,0.0006106249936188203,0.0014069700313797703,0.00045304435010428605,0.0009539256812754842
41.01057187527675,90.63595299199295,2024-06-18 08:20:00+00:00,0.0006414957797657801,0.0014781008750363598,0.00047594848176170786,0.0010021523932746519
42.979748848590255,92.21906911006926,2024-06-18 08:30:00+00:00,0.0006718584271210564,0.0015480608919840012,0.0004984756072188484,0.0010495852847651527
44.94677039164927,93.85872372320227,2024-06-18 08:40:00+00:00,0.0007016168463451008,0.0016166286782145181,0.0005205544343850749,0.0010960742438294432
46.90990945868764,95.56480123401525,2024-06-18 08:50:00+00:00,0.0007306751531242607,0.0016835833021296332,0.0005421138232857419,0.0011414694788438912
48.86721676326428,97.34879910342227,2024-06-18 09:00:00+00:00,0.000758938147247699,0.0017487054084048366,0.0005630831415063573,0.0011856222668984791
50.81646162591452,99.22418655420648,2024-06-18 09:10:00+00:00,0.0007863117974050499,0.0018117783350346773,0.0005833926238811661,0.001228385711153511
52.755056517659284,101.20685104074107,2024-06-18 09:20:00+00:00,0.0008127037263841206,0.0018725892312998172,0.0006029737324785412,0.001269615498821276
54.6799599938862,103.31565406501642,2024-06-18 09:30:00+00:00,0.0008380236934160134,0.0019309301691613214,0.0006217595144699455,0.0013091706546913759
56.58755088880244,105.57312127996255,2024-06-18 09:40:00+00:00,0.0008621840704162768,0.0019865992405904997,0.0006396849554701409,0.0013469142851203586
58.47346410579158,108.00629306223692,2024-06-18 09:50:00+00:00,0.0008851003074055207,0.002039401629966638,0.0006566873248492575,0.0013827143051173805
